EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10042650,PENOBSCOT CO.,,08/16/1959,1200,Tornado,0,F2,0,0,2500,0,ME,CST,,,C,19,,0,0,,,2,27,0,,0,,,08/16/1959,1200,45.05,-68.6,,,,,28
10042651,KENNEBEC CO.,,08/16/1959,1245,Tornado,0,F1,0,0,2500,0,ME,CST,,,C,11,,0,0,,,0.5,33,0,,0,,,08/16/1959,1245,44.4,-69.75,,,,,29
10042652,PENOBSCOT CO.,,08/17/1959,1600,Tornado,0,F1,0,0,2500,0,ME,CST,,,C,19,,0,0,,,2,300,0,,0,,,08/17/1959,1600,44.87,-69.17,,,,,30
10042653,PENOBSCOT CO.,,08/17/1959,1900,Tornado,0,F1,0,1,2500,0,ME,CST,,,C,19,,0,0,,,0.8,300,0,,0,,,08/17/1959,1900,44.83,-68.4,,,,,31
10043489,PISCATAQUIS CO.,,08/28/1959,1500,Tornado,0,,0,0,0,0,ME,CST,,,C,21,,0,0,,,0,33,0,,0,,,08/28/1959,1500,45.17,-69.25,,,,,32
10043699,OXFORD CO.,,10/18/1959,1630,Thunderstorm Wind,0,,0,0,0,0,ME,CST,,,C,17,,0,0,,,0,0,0,,0,,,10/18/1959,1630,44.2,-70.58,,,,,33
10043700,CO.,,06/20/1960,1500,Hail,1.25,,0,0,0,0,ME,CST,,,C,0,,0,0,,,0,0,0,,0,,,06/20/1960,1500,44.2,-69.4,,,,,34
10043701,PENOBSCOT CO.,,06/20/1960,1530,Hail,2,,0,0,0,0,ME,CST,,,C,19,,0,0,,,0,0,0,,0,,,06/20/1960,1530,44.88,-68.9,,,,,35
10043702,YORK CO.,,06/30/1960,1120,Hail,1,,0,0,0,0,ME,CST,,,C,31,,0,0,,,0,0,0,,0,,,06/30/1960,1120,43.38,-70.58,,,,,36
10043703,SOMERSET CO.,,07/11/1960,1800,Thunderstorm Wind,0,,0,0,0,0,ME,CST,,,C,25,,0,0,,,0,0,0,,0,,,07/11/1960,1800,45.08,-69.28,,,,,37
10043704,KENNEBEC CO.,,07/13/1960,1400,Thunderstorm Wind,80,,0,0,0,0,ME,CST,,,C,11,,0,0,,,0,0,0,,0,,,07/13/1960,1400,44.28,-69.78,,,,,38
10043705,PENOBSCOT CO.,,07/23/1960,1300,Hail,1.25,,0,0,0,0,ME,CST,,,C,19,,0,0,,,0,0,0,,0,,,07/23/1960,1300,45,-68.68,,,,,39
10043706,AROOSTOOK CO.,,08/29/1960,1500,Thunderstorm Wind,70,,0,0,0,0,ME,CST,,,C,3,,0,0,,,0,0,0,,0,,,08/29/1960,1500,46.88,-68,,,,,40
10043707,AROOSTOOK CO.,,08/29/1960,1600,Tornado,0,F1,0,0,25000,0,ME,CST,,,C,3,,0,0,,,9.7,100,0,,0,,,08/29/1960,1600,46.87,-68.02,46.92,-67.82,,,41
10043708,WASHINGTON CO.,,05/29/1961,1400,Tornado,0,F0,0,0,25000,0,ME,CST,,,C,29,,0,0,,,4.7,150,0,,0,,,05/29/1961,1400,45.07,-67.3,45.1,-67.4,,,42
10043709,OXFORD CO.,,06/13/1961,1700,Tornado,0,F1,0,0,25000,0,ME,CST,,,C,17,,0,0,,,5.4,27,0,,0,,,06/13/1961,1700,44.17,-70.98,44.12,-70.88,,,43
10043710,OXFORD CO.,,06/13/1961,1715,Hail,1.75,,0,0,0,0,ME,CST,,,C,17,,0,0,,,0,0,0,,0,,,06/13/1961,1715,44,-71,,,,,44
10043711,AROOSTOOK CO.,,06/29/1961,2227,Tornado,0,F1,0,0,25000,0,ME,CST,,,C,3,,0,0,,,0.5,17,0,,0,,,06/29/1961,2227,47.17,-68.3,,,,,45
10043712,KENNEBEC CO.,,07/11/1961,1400,Hail,1,,0,0,0,0,ME,CST,,,C,11,,0,0,,,0,0,0,,0,,,07/11/1961,1400,44.28,-69.78,,,,,46
10043713,CO.,,07/12/1961,1232,Hail,0.75,,0,0,0,0,ME,CST,,,C,0,,0,0,,,0,0,0,,0,,,07/12/1961,1232,46.08,-67.78,,,,,47
10043714,KENNEBEC CO.,,07/13/1961,1500,Hail,0.75,,0,0,0,0,ME,CST,,,C,11,,0,0,,,0,0,0,,0,,,07/13/1961,1500,44.5,-70,,,,,48
10043715,KENNEBEC CO.,,07/13/1961,1500,Hail,1,,0,0,0,0,ME,CST,,,C,11,,0,0,,,0,0,0,,0,,,07/13/1961,1500,44.2,-69.68,,,,,49
10043716,AROOSTOOK CO.,,07/18/1961,1615,Tornado,0,F1,0,0,25000,0,ME,CST,,,C,3,,0,0,,,0.5,23,0,,0,,,07/18/1961,1615,46.77,-67.92,,,,,50
10043717,CUMBERLAND CO.,,07/21/1961,1500,Thunderstorm Wind,52,,0,0,0,0,ME,CST,,,C,5,,0,0,,,0,0,0,,0,,,07/21/1961,1500,43.7,-70.28,,,,,51
10043718,CO.,,08/27/1961,1500,Hail,4,,0,0,0,0,ME,CST,,,C,0,,0,0,,,0,0,0,,0,,,08/27/1961,1500,46.38,-67.78,,,,,52
10043719,PENOBSCOT CO.,,08/27/1961,1500,Hail,1.25,,0,0,0,0,ME,CST,,,C,19,,0,0,,,0,0,0,,0,,,08/27/1961,1500,45.7,-68.68,,,,,53
10043720,SOMERSET CO.,,09/04/1961,1610,Tornado,0,F2,0,0,250000,0,ME,CST,,,C,25,,0,0,,,0.5,17,0,,0,,,09/04/1961,1610,44.8,-69.7,,,,,54
10043721,WASHINGTON CO.,,09/15/1961,930,Tornado,0,F2,0,1,25000,0,ME,CST,,,C,29,,0,0,,,19.1,33,0,,0,,,09/15/1961,930,44.5,-67.6,44.73,-67.38,,,55
10043722,CUMBERLAND CO.,,07/09/1962,1055,Tornado,0,F1,0,0,2500,0,ME,CST,,,C,5,,0,0,,,11.3,23,0,,0,,,07/09/1962,1055,43.88,-70.7,43.9,-70.47,,,56
10043723,AROOSTOOK CO.,,07/18/1962,1400,Hail,0.75,,0,0,0,0,ME,CST,,,C,3,,0,0,,,0,0,0,,0,,,07/18/1962,1400,47,-68.08,,,,,57
10043724,SOMERSET CO.,,08/20/1962,1350,Tornado,0,F2,0,0,2500,0,ME,CST,,,C,25,,0,0,,,0,27,0,,0,,,08/20/1962,1350,45.03,-69.6,45.03,-69.63,,,58
10043725,SOMERSET CO.,,08/20/1962,1400,Hail,1.75,,0,0,0,0,ME,CST,,,C,25,,0,0,,,0,0,0,,0,,,08/20/1962,1400,45,-69.58,,,,,59
10043726,CUMBERLAND CO.,,04/20/1963,1214,Thunderstorm Wind,53,,0,0,0,0,ME,CST,,,C,5,,0,0,,,0,0,0,,0,,,04/20/1963,1214,43.7,-70.28,,,,,60
10043727,YORK CO.,,05/14/1963,1615,Tornado,0,F2,0,0,2500,0,ME,CST,,,C,31,,0,0,,,0.5,50,0,,0,,,05/14/1963,1615,43.27,-70.83,43.27,-70.83,,,61
10043728,AROOSTOOK CO.,,05/19/1963,1429,Thunderstorm Wind,59,,0,0,0,0,ME,CST,,,C,3,,0,0,,,0,0,0,,0,,,05/19/1963,1429,46.88,-68,,,,,62
10043729,AROOSTOOK CO.,,05/19/1963,1445,Tornado,0,,0,0,2500,0,ME,CST,,,C,3,,0,0,,,1.5,100,0,,0,,,05/19/1963,1445,46.9,-68,,,,,63
